"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJECORE_EFFECT_HEALTH","HEALTH","HEALTH","ZDRAVÍ","GESUNDHEIT","ЗДОРОВ'Я","ZDROWIE","EGÉSZSÉG","SALUTE","SALUD","SANTÉ","健康","健康","SAÚDE","健康"
"STR_TERJECORE_EFFECT_BLOOD","BLOOD","BLOOD","KREV","BLUT","КРОВ","KREW","VÉR","SANGUE","SANGRE","SANG","血液","血液","SANGUE","血液"
"STR_TERJECORE_EFFECT_SHOCK","SHOCK","SHOCK","ŠOK","SCHOCK","ШОК","SZOK","SZOK","SHOCK","CHOQUE","CHOC","休克","ショック","CHOQUE","休克"
"STR_TERJECORE_EFFECT_ENERGY","NUTRITION","NUTRITION","VÝŽIVA","ERNÄHRUNG","ХАРЧУВАННЯ","POŻYWIENIE","TÁPLÁKOZÁS","NUTRIZIONE","NUTRICIÓN","NUTRITION","營養","栄養","NUTRIÇÃO","营养"
"STR_TERJECORE_EFFECT_WATER","HYDRATION","HYDRATION","HYDRATACE","HYDRATATION","ГIДРАТАЦIЯ","NAWODNIENIE","HIDRATÁCIÓ","IDRATAZIONE","HIDRATACIÓN","HYDRATATION","水分值","水分補給","HIDRATAÇÃO","水分值"
"STR_TERJECORE_PIS_HEALTH","Health","Health","Zdraví","Gesundheit","Здоров'я","Zdrowie","Egészség","Salute","Salud","Santé","健康","健康","Saúde","健康"
"STR_TERJECORE_PIS_HEALTH_CRIT","Critically low level of health","Critically low level of health","Kriticky nízká úroveň zdraví","Kritisch niedrige Gesundheit","Критично низький рівень здоров'я","Krytycznie niski poziom zdrowia","Kritikusan alacsony egészségügyi szint","Salute criticamente bassa","Salud críticamente baja","État de santé critique","健康水平極低","非常に低いレベルの健康","Nível de saúde criticamente baixo","健康水平极低"
"STR_TERJECORE_PIS_HEALTH_LOW","Low level of health","Low level of health","Nízká úroveň zdraví","Niedrige Gesundheit","Низький рівень здоров'я","Niski poziom zdrowia","Alacsony egészségügyi szint","Bassa salute","Baja salud","Mauvaise santé","健康水平低","低レベルの健康","Baixa saúde","健康水平低"
"STR_TERJECORE_PIS_HEALTH_WARN","The level of health is below normal","The level of health is below normal","Úroveň zdraví pod normálem","Gesundheitsniveau ist niedriger als normal","Рівень здоров'я нижчий за норму","Poziom zdrowia poniżej normy","Az egészség szintje a normál alatt van","Livello di salute inferiore al normale","Nivel de salud por debajo de lo normal","Niveau de santé inférieur à la normale","健康水平低於正常範圍","健康のレベルは正常以下です","Saúde abaixo do normal","健康水平低于正常水平"
"STR_TERJECORE_PIS_BLOOD","Blood","Blood","Krev","Blut","Кров","Krew","Vér","Sangue","Sangre","Sang","血液","血","Sangue","血"
