"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEMED_TABLETS_DESC","Sealed pack of old tablets with just the name and expiration date showing. They still seem usable.","Sealed pack of old tablets with just the name and expiration date showing. They still seem usable.","Uzavřené balení starých tablet. Na něm můžete vidět pouze jméno a datum vypršení platnosti. Zdá se, že jsou stále použitelné.","Versiegelte Verpackung von alten Tabletten. Darauf sehen Sie nur den Namen und das Ablaufdatum. Sie scheinen noch brauchbar zu sein.","Герметичная упаковка старых таблеток. На ней можно разглядеть только название и срок годности. Кажется они все еще пригодны для употребления.","Zapieczętowane opakowanie starych tabletek. Na nim widać tylko nazwę i datę ważności. Wydaje się, że nadal nadają się do użytku.","Régi tabletták zárt csomagolása. Rajta csak a név és a lejárati dátum látható. Úgy tűnik, hogy még mindig használhatók.","Confezione sigillata di vecchie compresse. Su di esso puoi vedere solo il nome e la data di scadenza. Sembrano essere ancora utilizzabili.","Embalaje sellado de comprimidos viejos. En él solo puedes ver el nombre y la fecha de vencimiento. Parecen seguir siendo utilizables.","Paquet scellé de vieux comprimés avec juste le nom et la date d'expiration visibles. Ils semblent encore utilisables.","密封的舊藥片包裝，僅顯示名稱和有效期限。它們看起來還能用。","古い錠剤の密封包装。 その上には、名前と有効期限のみが表示されます。 彼らはまだ使用可能であるようです。","Embalagem selada de comprimidos antigos. Nele você só pode ver o nome e a data de validade. Parecem ainda ser utilizáveis.","旧片的密封包装。 就可以了，你只能看到的名称和到期日期。 它们似乎仍然可用。",
"STR_TERJEMED_FINALGON","Finalgon","Finalgon","Finalgon","Finalgon","Финалгон","Finalgon","Finalgon","Finalgon","Finalgón","Finalgon","Finalgon","フィナルゴン","Finalgon","[医]芬兰",
"STR_TERJEMED_MAGNESIUMSULFATE","Magnesium Sulfate","Magnesium Sulfate","Síran hořečnatý","Magnesiumsulfat","Сульфат магния","Siarczan magnezu","Magnézium-szulfát","Solfato di magnesio","Sulfato de magnesio","Sulfate de Magnésium","Magnesium Sulfate","硫酸マグネシウム","Sulfato de magnésio","硫酸镁/硫酸镁",
"STR_TERJEMED_ADEPRESS","Adepress","Adepress","Adepsu","Adepress","Адепресс","Adepress","Adepress","Adepress","Adepress","Adépress","Adepress","アデプレス","Adepress","女演员",
"STR_TERJEMED_B190","Tablets B190","Tablets B190","Tablety B190","Tabletten B190","Таблетки В190","Tabletki B190","Tabletta B190","Compresse B190","Tabletas B190","Comprimés B190","Tablets B190","錠B190","Comprimidos B190","平板电脑B190",
"STR_TERJEMED_ANALGIN","Analgin","Analgin","Analgin","Analgin","Анальгин","Analgin","Analgin","Analgin","Analgin","Analgine","Analgin","アナルギン","Analgin","[医]肛门",
"STR_TERJEMED_NIMESULID","Nimesulide","Nimesulide","Nimesulid","Nimesulid","Нимесулид","Nimesulid","Nimeszulid","Nimesulid","Nimesulida","Nimésulide","Nimesulide","ニメスリド","Nimesulida","尼美舒利",
"STR_TERJEMED_PARACETAMOL","Paracetamol","Paracetamol","Paracetamol","Paracetamol","Парацетамол","Paracetamol","Paracetamol","Paracetamolo","Paracetamol","Paracétamol","Paracetamol","パラセタモール","Paracetamol","扑热息痛",
"STR_TERJEMED_IBUPROFEN","Ibuprofen","Ibuprofen","Ibuprofen","Ibuprofen","Ибупрофен","Ibuprofen","Ibuprofen","Ibuprofene","Ibuprofeno","Ibuprofène","Ibuprofen","イブプロフェン","Ibuprofeno","布洛芬",
"STR_TERJEMED_NUROFEN","Nurofen","Nurofen","Nurofen","Nurofen","Нурофен","Nurofen","Nurofén","Nurofen","Nurofen","Nurofen","Nurofen","ヌロフェン","Nurofen","努洛芬",
