"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJERAD_SOAP_NAME","Household Soap","Household Soap","Mýdlo na praní","Kernseife","Господарське мило","Mydło do prania","Háztartási szappan","Sapone da bucato","Jabón de lavandería","Savon Ménager","家用肥皂","家庭用石鹸","Sabão","家用肥皂"
"STR_TERJERAD_SOAP_DESC","An ordinary household soap that can effectively remove any dirt from objects. It washes away dirt, blood and even small traces of radiation contamination if dissolved in water.","An ordinary household soap that can effectively remove any dirt from objects. It washes away dirt, blood and even small traces of radiation contamination if dissolved in water.","Běžné mýdlo na praní, které dokáže účinně odstranit veškeré nečistoty z předmětů. Smývá nečistoty, krev a dokonce i malé stopy radiačního znečištění pokud se rozpustí ve vodě.","Eine gewöhnliche Haushaltsseife, die Verunreinigungen von Gegenständen effektiv entfernen kann. Wäscht Schmutz, Blut und sogar kleine Spuren von Strahlenbelastung ab, wenn sie in Wasser gelöst werden.","Звичайне господарське мило, яке ефективно видаляє будь-які забруднення з предметів. Він змиває бруд, кров і навіть невеликі сліди радіаційного зараження, якщо його розчинити у воді.","Zwykłe mydło do prania, które skutecznie usuwa wszelkie zabrudzenia z przedmiotów. Po rozpuszczeniu w wodzie zmywa brud, krew, a nawet niewielkie ślady skażenia radiacyjnego.","Egy közönséges háztartási szappan, amely hatékonyan eltávolíthatja a szennyeződéseket a tárgyakról. Vízben oldva lemossa a szennyeződéseket, a vért, sőt a sugárzás szennyeződésének apró nyomait is.","Sapone da bucato comune in grado di rimuovere efficacemente eventuali contaminanti dagli oggetti. Lava via sporco, sangue e anche piccole tracce di inquinamento da radiazioni se sciolto in acqua.","Jabón de lavandería común, capaz de eliminar efectivamente cualquier suciedad de los artículos. Lava la suciedad, la sangre e incluso pequeños rastros de contaminación por radiación si se disuelve en agua.","Un savon ménager ordinaire qui peut efficacement éliminer toute saleté des objets. Il lave la saleté, le sang et même de petites traces de contamination radioactive s'il est dissous dans l'eau.","一種普通的家用肥皂，可以有效去除物品上的任何污垢。如果溶於水，它可以洗去污垢、血跡、甚至微量的輻射污染。","物体から汚れを効果的に取り除くことができる普通の家庭用石鹸。 それは水で分解されたら放射能汚染の土、血および小さい跡を洗い流します。","Sabão comum que pode efetivamente remover qualquer contaminação dos itens. Lava Sujeira, sangue e até mesmo pequenos traços de contaminação por radiação se dissolvidos em água.","一种普通的家用肥皂，可以有效地清除物体上的任何污垢。 如果溶解在水中，它可以洗去污垢，血液甚至少量的辐射污染。"
"STR_TERJERAD_CANISTRECHEMICAL_NAME","Chemical Canister","Chemical Canister","Kanystr na chemikálie","Kanister für Chemikalien","Хімічна каністра","Pojemnik na chemikalia","Kémiai tartály","Contenitore per prodotti chimici","Recipiente para productos químicos","Bidon Chimique","化學罐","ケミカルキャニスター","Vasilha para produtos químicos","化学罐"
"STR_TERJERAD_CANISTRECHEMICAL_DESC","A specialized chemical solution for cleaning and neutralizing radiation pollution. Effectively washes away radioactive particles from clothing, equipment and other surfaces, reducing the risk of exposure. It is indispensable in conditions of high radiation levels, when careful decontamination of objects is required for safe use.","A specialized chemical solution for cleaning and neutralizing radiation pollution. Effectively washes away radioactive particles from clothing, equipment and other surfaces, reducing the risk of exposure. It is indispensable in conditions of high radiation levels, when careful decontamination of objects is required for safe use.","Specializovaný chemický roztok pro čištění a neutralizaci radiačního znečištění. Účinně smývá radioaktivní částice z oděvů, zařízení a dalších povrchů, čímž snižuje riziko ozáření. Nepostradatelný v podmínkách vysokých úrovní radiace, kdy je nutná důkladná deaktivace předmětů pro bezpečné použití.","Eine spezielle chemische Lösung zur Reinigung und Neutralisierung von Strahlenbelastung. Entfernt effektiv radioaktive Partikel von Kleidung, Geräten und anderen Oberflächen, wodurch das Risiko einer Bestrahlung reduziert wird. Unverzichtbar bei hohen Strahlungswerten, wenn eine sorgfältige Dekontamination von Gegenständen zur sicheren Verwendung erforderlich ist.","Спеціалізований хімічний розчин для очищення та нейтралізації радіаційного забруднення. Ефективно змиває радіоактивні частинки з одягу, обладнання та інших поверхонь, знижуючи ризик опромінення. Він незамінний в умовах високого рівня радіації, коли для безпечного використання необхідна ретельна дезактивація об'єктів.","Specjalistyczny roztwór chemiczny do czyszczenia i neutralizacji skażenia promieniotwórczego. Skutecznie zmywa cząstki radioaktywne z odzieży, sprzętu i innych powierzchni, zmniejszając ryzyko narażenia. Niezastąpiony w środowiskach o wysokim poziomie promieniowania, gdzie przedmioty muszą być dokładnie odkażone w celu bezpiecznego użytkowania.","Speciális kémiai megoldás a sugárszennyezés tisztítására és semlegesítésére. Hatékonyan lemossa a radioaktív részecskéket a ruházatról, berendezésekről és egyéb felületekről, csökkentve az expozíció kockázatát. Elengedhetetlen a magas sugárzási szint esetén, amikor a tárgyak gondos fertőtlenítése szükséges a biztonságos használathoz.","Soluzione chimica specializzata per la pulizia e la neutralizzazione dell'inquinamento da radiazioni. Elimina efficacemente le particelle radioattive da indumenti, attrezzature e altre superfici, riducendo il rischio di radiazioni. Indispensabile in ambienti con alti livelli di radiazioni in cui è necessaria un'attenta decontaminazione degli articoli per un uso sicuro.","Solución química especializada para limpiar y neutralizar la contaminación por radiación. Elimina eficazmente las partículas radiactivas de la ropa, el equipo y otras superficies, reduciendo el riesgo de exposición. Indispensable en condiciones de altos niveles de radiación, donde se requiere una descontaminación cuidadosa de los artículos para un uso seguro.","Une solution chimique spécialisée pour nettoyer et neutraliser la pollution radioactive. Élimine efficacement les particules radioactives des vêtements, de l'équipement et d'autres surfaces, réduisant le risque d'exposition. Indispensable dans des conditions de niveaux de radiation élevés, lorsque la décontamination minutieuse des objets est requise pour une utilisation en toute sécurité.","一種專門用于清潔和中和輻射汙染的化學溶液. 有效洗去衣物、設備和其他表面的放射性顆粒，降低暴露風險。 在高輻射水平的條件下，當需要對物體進行仔細的淨化以確保安全使用時，它是必不可少的。","放射線汚染の洗浄と中和のための特殊な薬液。 衣類、機器、その他の表面から放射性粒子を効果的に洗い流し、暴露のリスクを軽減します。 安全に使用するために対象物の慎重な除染が必要な場合、高い放射線レベルの条件では不可欠です。","Solução química especializada para limpeza e neutralização da poluição por radiação. Lava efetivamente partículas radioativas de roupas, equipamentos e outras superfícies, reduzindo o risco de exposição à radiação. Indispensável em condições de altos níveis de radiação, quando é necessária uma descontaminação completa dos itens para uso seguro.","一种专门用于清洁和中和辐射污染的化学溶液. 有效洗去衣物、设备和其他表面的放射性颗粒，降低暴露风险。 在高辐射水平的条件下，当需要对物体进行仔细的净化以确保安全使用时，它是必不可少的。"
"STR_TERJERAD_CASEMILITARY_NAME","Radiation Protection Box","Radiation Protection Box","Ochranná schránka proti radiaci","Strahlenschutzbox","Коробка радіаційного захисту","Skrzynka chroniąca przed promieniowaniem","Sugárvédelmi doboz","Scatola di protezione dalle radiazioni","Caja de protección contra la radiación","Boîte de Protection Contre les Radiations","防輻射箱","放射線防護箱","Caixa de proteção contra radiação","防辐射箱"
"STR_TERJERAD_CASEMILITARY_DESC","A special container designed to protect the contents from radioactive contamination. Objects placed inside do not accumulate radiation even when they are in heavily contaminated areas, which makes it possible to safely transport and store valuables in conditions of high radiation. It is indispensable for survivors who often find themselves in dangerous areas.","A special container designed to protect the contents from radioactive contamination. Objects placed inside do not accumulate radiation even when they are in heavily contaminated areas, which makes it possible to safely transport and store valuables in conditions of high radiation. It is indispensable for survivors who often find themselves in dangerous areas.","Speciální nádoba určená k ochraně obsahu před radioaktivním zamořením. Předměty umístěné uvnitř nehromadí radiaci ani při pobytu v silně zamořených oblastech, což umožňuje bezpečnou přepravu a skladování cenných věcí v podmínkách zvýšené radiace. Nepostradatelný pro přeživší, kteří se často ocitají v nebezpečných oblastech.","Ein spezieller Behälter, der den Inhalt vor radioaktiver Kontamination schützt. Gegenstände, die im Inneren platziert sind, sammeln keine Strahlung an, selbst wenn sie sich in stark kontaminierten Bereichen befinden, wodurch Sie wertvolle Gegenstände unter erhöhten Strahlenbedingungen sicher transportieren und lagern können. Unverzichtbar für Überlebende, die sich oft in gefährlichen Gebieten befinden.","Спеціальний контейнер, призначений для захисту вмісту від радіоактивного зараження. Поміщені всередину об’єкти не накопичують радіацію, навіть якщо знаходяться на сильно забруднених територіях, що дає можливість безпечно транспортувати та зберігати цінні речі в умовах підвищеної радіації. Він незамінний для тих, хто вижив, які часто опиняються в небезпечних місцях.","Specjalny pojemnik zaprojektowany w celu ochrony zawartości przed skażeniem radioaktywnym. Znajdujące się w nim przedmioty nie kumulują promieniowania nawet w silnie skażonych obszarach, umożliwiając bezpieczny transport i przechowywanie cennych przedmiotów w środowiskach o wysokim poziomie promieniowania. Niezbędny dla ocalałych, którzy często znajdują się w niebezpiecznych obszarach.","Egy speciális tartály, amely megvédi a tartalmat a radioaktív szennyeződéstől. A belsejében elhelyezett tárgyak még akkor sem halmoznak fel sugárzást, ha erősen szennyezett területeken vannak, ami lehetővé teszi az értéktárgyak biztonságos szállítását és tárolását magas sugárzás esetén. Elengedhetetlen a túlélők számára, akik gyakran veszélyes területeken találják magukat.","Un contenitore speciale progettato per proteggere il contenuto dalla contaminazione radioattiva. Gli oggetti collocati all'interno non accumulano radiazioni anche quando si trovano in aree altamente infette, il che consente di trasportare e conservare in sicurezza oggetti di valore in condizioni di elevata radiazione. Indispensabile per i sopravvissuti che spesso si trovano in aree pericolose.","Un contenedor especial diseñado para proteger el contenido de la contaminación radiactiva. Los objetos colocados en el interior no acumulan radiación incluso cuando se encuentran en áreas altamente contaminadas, lo que permite el transporte seguro y el almacenamiento de objetos de valor en condiciones de alta radiación. Indispensable para los sobrevivientes que a menudo se encuentran en áreas peligrosas.","Un contenant spécial conçu pour protéger le contenu de la contamination radioactive. Les objets placés à l'intérieur n'accumulent pas de radiation même lorsqu'ils se trouvent dans des zones fortement contaminées, ce qui permet de transporter et de stocker en toute sécurité des objets de valeur dans des conditions de radiation élevée. Indispensable pour les survivants qui se retrouvent souvent dans des zones dangereuses.","一種特殊的容器，旨在保護內容物免受放射性汙染。 放置在裏面的物體即使在嚴重汙染的地區也不會積聚輻射，這使得在高輻射條件下安全運輸和儲存貴重物品成為可能。 對于經常發現自己處于危險地區的幸存者來說，這是必不可少的。","内容物を放射能汚染から保護するために設計された特別な容器。 内部に置かれた物体は、汚染の激しい場所にあっても放射線を蓄積しないため、高放射線状態で貴重品を安全に輸送して保管することができます。 危険な場所にいることが多い生存者にとっては不可欠です。","Recipiente especial destinado a proteger o conteúdo da contaminação radioativa. Os itens colocados no interior não acumulam radiação, mesmo quando estão em áreas altamente contaminadas, o que permite o transporte e o armazenamento seguros de objetos de valor em condições de alta radiação. Indispensável para os sobreviventes, muitas vezes encontrando-se em áreas perigosas.","一种特殊的容器，旨在保护内容物免受放射性污染。 放置在里面的物体即使在严重污染的地区也不会积聚辐射，这使得在高辐射条件下安全运输和储存贵重物品成为可能。 对于经常发现自己处于危险地区的幸存者来说，这是必不可少的。"
"STR_TERJERAD_CASESPECIAL_NAME","Radiation Protection Suitcase","Radiation Protection Suitcase","Ochranný kufr proti radiaci","Strahlenschutzkoffer","Радіаційно захищена валіза","Walizka chroniąca przed promieniowaniem","Sugárvédelmi bőrönd","Valigia protettiva contro le radiazioni","Maleta protectora contra la radiación","Valise de Protection Contre les Radiations","防輻射手提箱","放射線防護スーツケース","Mala de proteção contra radiação","防辐射手提箱"
"STR_TERJERAD_CASESPECIAL_DESC","A compact but reliable suitcase that provides radiation protection for the items inside it. Prevents the accumulation of radiation on the contents even in conditions of severe infection, allowing you to safely carry and store valuables in radiation zones.","A compact but reliable suitcase that provides radiation protection for the items inside it. Prevents the accumulation of radiation on the contents even in conditions of severe infection, allowing you to safely carry and store valuables in radiation zones.","Kompaktní, ale spolehlivý kufr, který poskytuje ochranu před zářením pro předměty uvnitř. Zabraňuje hromadění radiace na obsahu i v podmínkách silné infekce, což umožňuje bezpečný přenos a skladování cenných věcí v radiačních zónách.","Ein kompakter, aber robuster Koffer bietet Strahlenschutz für Gegenstände darin. Verhindert die Ansammlung von Strahlung auf dem Inhalt selbst bei starker Kontamination, so dass wertvolle Gegenstände sicher in Strahlenbereichen transportiert und gelagert werden können.","Компактна, але надійна валіза, яка забезпечує радіаційний захист речей, що знаходяться в ній. Запобігає накопиченню радіації на вмісті навіть в умовах сильного зараження, дозволяючи безпечно переносити і зберігати цінні речі в радіаційних зонах.","Kompaktowa, ale wytrzymała walizka zapewniająca ochronę przed promieniowaniem dla znajdujących się w niej przedmiotów. Zapobiega gromadzeniu się promieniowania na zawartości nawet w silnie skażonym środowisku, umożliwiając bezpieczne przenoszenie i przechowywanie cennych przedmiotów w strefach promieniowania.","Kompakt, de megbízható bőrönd, amely sugárvédelmet biztosít a benne lévő tárgyak számára. Megakadályozza a sugárzás felhalmozódását a tartalomra még súlyos fertőzés esetén is, lehetővé téve az értéktárgyak biztonságos hordozását és tárolását a sugárzási zónákban.","Una valigia compatta ma affidabile che fornisce protezione dalle radiazioni agli oggetti al suo interno. Previene l'accumulo di radiazioni sul contenuto anche in condizioni di forte infestazione, consentendo il trasporto e lo stoccaggio di oggetti di valore in modo sicuro nelle aree di radiazione.","Una maleta compacta pero segura que proporciona protección contra la radiación para los artículos dentro de ella. Previene la acumulación de radiación en el contenido, incluso en condiciones de contaminación severa, lo que le permite transportar y almacenar objetos de valor de manera segura en áreas de radiación.","Une valise compacte mais fiable qui offre une protection contre les radiations pour les objets qu'elle contient. Empêche l'accumulation de radiation sur le contenu même dans des conditions de contamination sévère, vous permettant de transporter et de stocker en toute sécurité des objets de valeur dans les zones de radiation.","一個緊湊但可靠的手提箱，為裏面的物品提供輻射防護。 即使在嚴重感染的情況下，也可以防止內容物上的輻射積聚，使您可以安全地在輻射區域攜帶和存放貴重物品。","その中の項目に放射線防護を提供する密集したしかし信頼できるスーツケース。 重度の感染状態であっても内容物に放射線が蓄積するのを防ぎ、貴重品を放射線ゾーンに安全に運び、保管することができます。","Uma mala compacta, mas robusta, que oferece proteção contra radiação para os itens dentro dela. Evita o acúmulo de radiação no conteúdo, mesmo em condições de contaminação severa, permitindo que objetos de valor sejam transportados e armazenados com segurança em áreas de radiação.","一个紧凑但可靠的手提箱，为里面的物品提供辐射防护。 即使在严重感染的情况下，也可以防止内容物上的辐射积聚，使您可以安全地在辐射区域携带和存放贵重物品。"
"STR_TERJERAD_DOSIMETR_PRIPYAT_NAME","Radiometer RKS-20.03 «Pripyat»","Radiometer RKS-20.03 «Pripyat»","Radiometr RX - 20.03 «Pripjať»","Radiometer RKS-20.03 «Pripyat»","Радіометр РКС-20.03 «Прип'ять»","Radiometr RKS - 20.03 «Prypeć»","Radiométer RKS-20.03 «Pripyat»","Radiometro RKS - 20.03 «Pripyat»","Radiómetro RKS - 20.03 «Pripyat»","Radiomètre RKS-20.03 « Pripyat »","輻射計 RKS-20.03 «普里皮亞季»","放射計RKS-20.03「プリピャチ」","Radiômetro RKS-20.03 «Pripyat»","辐射计RKS-20.03«普里皮亚季»"
"STR_TERJERAD_DOSIMETR_PRIPYAT_DESC","An electronic measuring device manufactured in the Ukrainian SSR and manufactured in modern Ukraine. It is also known by various export names, such as Hurpa HJ001. It is intended for individual and collective use in measuring the equivalent dose rate of background ionizing radiation, beta radiation flux density, specific activity in liquid and bulk substances.","An electronic measuring device manufactured in the Ukrainian SSR and manufactured in modern Ukraine. It is also known by various export names, such as Hurpa HJ001. It is intended for individual and collective use in measuring the equivalent dose rate of background ionizing radiation, beta radiation flux density, specific activity in liquid and bulk substances.","Elektronický měřicí přístroj vyráběný v SSSR a vyráběný v dnešní Ukrajině. Je známá také pod různými exportními názvy, například Hurpa HJ001. Je určen pro individuální a kolektivní použití při měření výkonu ekvivalentní dávky ionizujícího záření na pozadí, hustoty toku beta záření, specifické aktivity v kapalných a sypkých látkách.","Ein in der UdSSR hergestelltes und in der modernen Ukraine hergestelltes Elektronenmessgerät. Es ist auch unter verschiedenen Exportnamen bekannt, zum Beispiel Hurpa HJ001. Es ist für den individuellen und kollektiven Gebrauch bei der Messung der Leistung einer äquivalenten Dosis von ionisierender Strahlung im Hintergrund, der Dichte des Beta-Strahlungsflusses und der spezifischen Aktivität in flüssigen und Schüttgütern bestimmt.","Електронний вимірювальний прилад виробництва УРСР і виробництва сучасної України. Він також відомий під різними експортними назвами, наприклад Hurpa HJ001. Призначений для індивідуального та колективного використання при вимірюванні потужності еквівалентної дози фонового іонізуючого випромінювання, щільності потоку бета-випромінювання, питомої активності в рідких і сипучих речовинах.","Elektroniczne urządzenie pomiarowe wyprodukowane w Ukraińskiej SRR i produkowane we współczesnej Ukrainie. Jest również znany pod różnymi nazwami eksportowymi, np. Hurpa HJ001. Przeznaczone jest do indywidualnego i zbiorowego pomiaru równoważnika dawki promieniowania jonizującego tła, gęstości strumienia promieniowania beta, aktywności właściwej w substancjach ciekłych i sypkich.","Az ukrán SSR-ben Gyártott, a modern Ukrajnában gyártott elektronikus mérőeszköz. Különböző exportneveken is ismert, például Hurpa HJ001. Egyéni és kollektív felhasználásra szánják a háttér ionizáló sugárzás egyenértékdózisának, a béta-sugárzási fluxus sűrűségének, a folyékony és ömlesztett anyagok specifikus aktivitásának mérésére.","Un dispositivo di misurazione elettronica prodotto nella SSR ucraina e prodotto nella moderna Ucraina. Conosciuto anche con vari nomi di esportazione, ad esempio Hurpa HJ001. Progettato per l'uso individuale e collettivo nella misurazione della potenza di una dose equivalente di radiazioni ionizzanti di fondo, densità di flusso di radiazioni beta, attività specifica in sostanze liquide e sfuse.","Instrumento de medición electrónica producido en la RSS de Ucrania y producido en la Ucrania moderna. También se conoce con varios nombres de exportación, por ejemplo, Hurpa HJ001. Diseñado para uso individual y colectivo en la medición de la potencia de la dosis equivalente de radiación ionizante de fondo, densidad de flujo de radiación beta, actividad específica en sustancias líquidas y granulares.","Un dispositif de mesure électronique fabriqué en RSS d'Ukraine et produit dans l'Ukraine moderne. Il est également connu sous divers noms d'exportation, tels que Hurpa HJ001. Il est destiné à un usage individuel et collectif pour mesurer le débit de dose équivalente du rayonnement ionisant ambiant, la densité de flux de rayonnement bêta, l'activité spécifique dans les substances liquides et en vrac.","在烏克蘭SSR制造並在現代烏克蘭制造的電子測量裝置。 它也被稱為各種出口名稱，如Hurpa HJ001。 它用于測量背景電離輻射的等效劑量率、貝塔輻射通量密度、液體和散裝物質的比活性。","ウクライナのSSRで製造され、現代のウクライナで製造された電子測定装置。 それはまたHurpa HJ001のようなさまざまな輸出名前によって、知られています。 それは背景の電離放射線、ベータ放射の束密度、液体およびバルク物質の比活性の同等の線量率の測定の個々および集合的な使用のために意図されてい","Instrumento de medição eletrônica produzido na URSS e produzido na Ucrânia moderna. Também é conhecido por vários nomes de exportação, por exemplo, Hurpa HJ001. Projetado para uso individual e coletivo na medição de potência de dose equivalente de radiação ionizante de fundo, densidade de fluxo de radiação beta, atividade específica em substâncias líquidas e granulares.","在乌克兰SSR制造并在现代乌克兰制造的电子测量装置。 它也被称为各种出口名称，如Hurpa HJ001。 它用于测量背景电离辐射的等效剂量率、贝塔辐射通量密度、液体和散装物质的比活性。"
