Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chineseimp
STR_TERJESKILL_ATHLETIC_NAME,ATHLETICS,ATHLETICS,ATLETIKA,ATHLETIK,АТЛЕТИКА,LEKKOATLETYKA,Atlétika,ATLETICA,ATLETISMO,ATHLÉTISME,運動,陸上競技,ATLETISMO,田径
STR_TERJESKILL_STRENGTH_NAME,STRENGTH,STRENGTH,PEVNOST,STÄRKE,СИЛА,SIŁA,ERŐ,FORZA,FORTALEZA,FORCE,力量,強さ,FORÇA,力量
STR_TERJEPERK_ATH_QUICKFEET,Quick Legs,Quick Legs,Rychlé nohy,Schnelle Beine,Быстрые ноги,Szybkie nóżki,Gyors lábak,Gambe veloci,Piernas rápidas,Jambes Rapides,快腿,クイックレッグス,Pernas rápidas,快腿
STR_TERJEPERK_ATH_QUICKFEET_DES,"You spend less stamina when sprinting. Thanks to excellent physical fitness and energy savings, you can maintain high speed for longer without getting tired so quickly.","You spend less stamina when sprinting. Thanks to excellent physical fitness and energy savings, you can maintain high speed for longer without getting tired so quickly.","Při sprintu ztrácíte méně vytrvalosti. Díky skvělé fyzické kondici a úspoře energie můžete udržet vysokou rychlost déle, aniž byste se tak rychle unavili.","Sie verbringen weniger Ausdauer beim Sprinten. Mit hervorragender körperlicher Fitness und Energieeinsparungen können Sie Ihre Geschwindigkeit länger halten, ohne so schnell zu ermüden.","Вы тратите меньше выносливости при спринте. Благодаря отличной физической подготовке и экономии энергии, вы можете дольше поддерживать высокую скорость, не утомляясь так быстро.","Podczas sprintu zużywasz mniej wytrzymałości. Dzięki doskonałej kondycji i oszczędności energii możesz dłużej utrzymywać wysoką prędkość, nie męcząc się tak szybko.","Kevesebb állóképességet költ sprintelés közben. A kiváló fizikai erőnlétnek és az energiamegtakarításnak köszönhetően hosszabb ideig képes fenntartani a nagy sebességet anélkül, hogy ilyen gyorsan elfáradna.","Spendi meno resistenza durante lo sprint. Con un'eccellente forma fisica e un risparmio energetico, puoi mantenere l'alta velocità più a lungo senza stancarti così velocemente.","Gastas menos resistencia al correr. Gracias a su excelente condición física y ahorro de energía, puede mantener su alta velocidad por más tiempo sin cansarse tan rápido.","Vous dépensez moins d'endurance en sprintant. Grâce à une excellente condition physique et à des économies d'énergie, vous pouvez maintenir une vitesse élevée plus longtemps sans vous fatiguer aussi rapidement.",衝刺時消耗的體力較少。得益於卓越的體能和能量儲備，你可以在不容易疲勞的情況下維持較長時間的高速。,全力疾走するときより少ないスタミナを使う。 優れた体力とエネルギー節約のおかげで、あなたはそれほど早く疲れずに長く高速を維持することができます。,"Você gasta menos resistência ao correr. Com excelente condicionamento físico e economia de energia, você pode manter a alta velocidade por mais tempo sem se cansar tão rápido.",你在短跑时花费的耐力较少。 由于出色的体能和节能，您可以保持更长时间的高速度，而不会如此快地感到疲倦。
STR_TERJEPERK_ATH_MARATHONER,Marathoner,Marathoner,Maratonec,Marathonläufer,Марафонец,Maratończyk,Maratoni futó,Maratoneta,Maratoniano,Marathonien,馬拉松運動員,マラソンランナー,Maratona,马拉松运动员
STR_TERJEPERK_ATH_MARATHONER_DES,"You regain stamina faster when jogging. Thanks to the effective distribution of strength and breathing, your stamina is restored even in motion, allowing you to continue running longer without having to stop to rest.","You regain stamina faster when jogging. Thanks to the effective distribution of strength and breathing, your stamina is restored even in motion, allowing you to continue running longer without having to stop to rest.","Při běhání obnovíte vytrvalost rychleji. Díky účinnému rozložení sil a dýchání se vaše stamina regeneruje i v pohybu, což vám umožní pokračovat v běhu déle, aniž byste se museli zastavit na odpočinek.","Sie regenerieren Ihre Ausdauer schneller beim Joggen. Durch eine effektive Kraftverteilung und Atmung erholt sich Ihre Ausdauer auch wärend Sie sich Bewegen, so dass Sie länger laufen können, ohne zur Ruhe anhalten zu müssen.","Вы восстанавливаете выносливость быстрее при беге трусцой. Благодаря эффективному распределению сил и дыханию, ваша стамина восстанавливается даже в движении, позволяя вам продолжать бег дольше без необходимости останавливаться для отдыха.","Podczas joggingu szybciej odzyskujesz wytrzymałość. Dzięki wydajnemu rozkładowi sił i oddychaniu, wytrzymałość regeneruje się nawet podczas biegu, co pozwala na dłuższe bieganie bez konieczności zatrzymywania się na odpoczynek.","Kocogás közben gyorsabban visszanyeri az állóképességet. Az erő és a légzés hatékony eloszlásának köszönhetően az állóképesség még mozgásban is helyreáll, lehetővé téve, hogy hosszabb ideig futhasson anélkül, hogy meg kellene állnia pihenni.","Riacquisti la resistenza più velocemente quando fai jogging. Con un'efficace distribuzione della forza e della respirazione, la tua stamina si rigenera anche in movimento, permettendoti di continuare a correre più a lungo senza doverti fermare per riposare.","Recuperas la resistencia más rápido al trotar. A través de una distribución eficiente de la fuerza y la respiración, su stamina se recupera incluso en movimiento, lo que le permite seguir corriendo por más tiempo sin tener que detenerse para descansar.","Vous récupérez votre endurance plus rapidement en trottinant. Grâce à une répartition efficace de la force et de la respiration, votre endurance se restaure même en mouvement, vous permettant de courir plus longtemps sans devoir vous arrêter pour vous reposer.",慢跑時，你的體力恢復速度更快。得益於有效的力量分配和呼吸控制，即使在運動中，你的體力也能恢復，讓你可以持續跑步更長時間，而不需要停下來休息。,ジョギングするとスタミナが早く回復します。 強さと呼吸の効果的な分布のおかげで、あなたのスタミナは動いていても回復し、休むために止まることなくより長く走り続けることができます。,"Você restaura a resistência mais rapidamente ao correr. Com uma distribuição eficaz de força e respiração, sua stamina se recupera mesmo em movimento, permitindo que você continue correndo por mais tempo sem ter que parar para descansar.",慢跑时你恢复耐力更快。 由于力量和呼吸的有效分配，你的耐力甚至在运动中恢复，让你继续跑更长的时间，而不必停下来休息。
STR_TERJEPERK_ATH_PROPERBREATHING,Proper Breathing,Proper Breathing,Správné dýchání,Richtige Atmung,Правильное дыхание,Prawidłowe oddychanie,Megfelelő légzés,Respirazione corretta,Respiración rítmica,Respiration Correcte,穩定呼吸,適切な呼吸,Respiração correta,穩定呼吸
STR_TERJEPERK_ATH_PROPERBREATHING_DES,"You recover stamina faster by standing still. The ability to quickly relax and regain strength allows you to quickly return stamina to a static position, and always be ready for new actions.","You recover stamina faster by standing still. The ability to quickly relax and regain strength allows you to quickly return stamina to a static position, and always be ready for new actions.","Vytrvalost obnovíte rychleji, když stojíte na místě. Schopnost rychle relaxovat a obnovit sílu Vám umožňuje rychleji získat zpět staminu ve statické poloze a být vždy připraven na nové akce.","Sie stellen die Ausdauer schneller wieder her, indem Sie still stehen. Die Fähigkeit, sich schnell zu entspannen und Kraft wiederherzustellen, ermöglicht es Ihnen, Ihre Ausdauer schneller zu regenerieren und immer auf neue Aktivitäten vorbereitet zu sein.","Вы восстанавливаете выносливость быстрее, стоя на месте. Способность быстро расслабляться и восстанавливать силы позволяет вам быстрее вернуть стамину в статичном положении, и всегда быть готовым к новым действиям.",Szybsze odzyskiwanie wytrzymałości w bezruchu. Zdolność do rozluźnienia się i szybkiej regeneracji pozwala szybciej odzyskać wytrzymałość w statycznej pozycji i zawsze być gotowym do nowych działań.,"Az állóképességet gyorsabban helyreállítja, ha áll. Az a képesség, hogy gyorsan pihenjen és visszanyerje erejét, lehetővé teszi, hogy gyorsan visszatérjen az állóképesség statikus helyzetbe, és mindig készen álljon az új műveletekre.",Riacquisti la resistenza più velocemente stando fermo. La capacità di rilassarsi e recuperare rapidamente ti consente di riportare la stamina in una posizione statica più rapidamente ed essere sempre pronto per nuove azioni.,"Recuperas la resistencia más rápido mientras te quedas quieto. La capacidad de relajarse rápidamente y recuperar la fuerza le permite volver a stamina en una posición estática más rápido, y siempre estar listo para nuevas acciones.",Vous récupérez votre endurance plus rapidement en restant immobile. Votre capacité à vous détendre et à récupérer vos forces vous permet de retrouver votre endurance en position statique plus rapidement.,靜止站立時，你的體力恢復更快。迅速放鬆並恢復力量的能力讓你能夠快速將體力恢復到靜止狀態，隨時準備進行新的動作。,じっと立っているとスタミナが早く回復します。 すぐにリラックスして力を取り戻す能力は、スタミナを静的な位置にすばやく戻し、常に新しい行動の準備をすることを可能にします。,Você restaura a resistência mais rapidamente em pé. A capacidade de relaxar rapidamente e recuperar forças permite que você retorne rapidamente a Estamina a uma posição estática e esteja sempre pronto para novas ações.,你通过站着不动来更快地恢复耐力. 快速放松和恢复力量的能力可以让您快速将耐力恢复到静态位置，并随时准备好新的行动。
STR_TERJEPERK_ATH_SWIMMER,Swimmer,Swimmer,Plavec,Schwimmer,Пловец,Pływak,Úszó,Nuotatore,Nadador,Nageur,遊泳運動員,スイマー,Nadador,游泳运动员
STR_TERJEPERK_ATH_SWIMMER_DES,"You reduce stamina consumption and increase its recovery when swimming. Thanks to the effective rowing technique and breath control, you save strength in the water and restore endurance faster, allowing you to stay afloat longer.","You reduce stamina consumption and increase its recovery when swimming. Thanks to the effective rowing technique and breath control, you save strength in the water and restore endurance faster, allowing you to stay afloat longer.","Snižujete spotřebu staminy a zvyšujete její regeneraci při plavání. Díky efektivní technice veslování a ovládání dýchání šetříte síly ve vodě a rychleji obnovujete vytrvalost, což vám umožní zůstat déle nad vodou.","Sie reduzieren den Ausdauerverbrauch und erhöhen die Regeneration beim Schwimmen. Dank einer effektiven Technik und Atemkontrolle sparen Sie Kraft im Wasser und regenerieren schneller Ihre Ausdauer, so dass Sie länger über Wasser bleiben können.","Вы уменьшаете расход стамины и увеличиваете её восстановление при плавании. Благодаря эффективной технике гребли и контролю дыхания, вы экономите силы в воде и быстрее восстанавливаете выносливость, позволяя дольше оставаться на плаву.","Zmniejsza zużycie wytrzymałości i zwiększa jej regenerację podczas pływania. Dzięki wydajnej technice pływania i kontroli oddechu oszczędzasz energię w wodzie i szybciej odzyskujesz wytrzymałość, co pozwala ci dłużej utrzymać się na powierzchni.","Csökkenti az állóképességet és növeli a gyógyulást úszás közben. A hatékony evezési technikának és a légzésszabályozásnak köszönhetően energiát takarít meg a vízben, és gyorsabban helyreállítja az állóképességet, így hosszabb ideig maradhat a felszínen.","Riduci il consumo di stamina e aumenta il suo recupero durante il nuoto. Con un'efficace tecnica di canottaggio e il controllo del respiro, risparmi forza in acqua e riacquisti la resistenza più velocemente, permettendoti di rimanere a galla più a lungo.","Reduce el consumo de stamina y aumenta su recuperación al nadar. Con una técnica de remo efectiva y control de la respiración, ahorra fuerza en el agua y recupera la resistencia más rápido, lo que le permite mantenerse a flote por más tiempo.","Grâce à une technique de nage efficace et au contrôle de votre respiration, vous économisez de la force dans l'eau et récupérez votre endurance plus rapidement, vous permettant de rester à flot plus longtemps.",在游泳時，你減少了體力消耗並加快了體力恢復。得益於有效的划水技巧和呼吸控制，你在水中節省了力量並更快地恢復耐力，使你能夠保持漂浮更長時間。,あなたはスタミナ消費を減らし、水泳時の回復を増やします。 効果的な漕ぎ技術と呼吸制御のおかげで、あなたは水の中の強さを節約し、より速く持久力を回復し、あなたがより長く浮かんでいることを可能にします。,"Você reduz o consumo de Estamina e aumenta sua recuperação ao nadar. Com técnicas eficazes de remo e controle da respiração, você economiza força na água e restaura a resistência mais rapidamente, permitindo que você permaneça à tona por mais tempo.",你减少耐力消耗，增加游泳时的恢复。 由于有效的划船技术和呼吸控制，您可以节省水中的力量并更快地恢复耐力，让您在水上停留更长时间。
