"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJESTARTSCREEN_PAGE_NAME_TITLE","ENTER CHARACTER'S NAME","ENTER CHARACTER'S NAME","ZADEJTE JMÉNO POSTAVY","BENNEN SIE IHREN CHARAKTER","ВВЕДИТЕ ИМЯ ПЕРСОНАЖА","WPISZ IMIĘ POSTACI","ÍRJA BE A KARAKTER NEVÉT","INSERISCI IL NOME DEL PERSONAGGIO","INGRESE EL NOMBRE DEL PERSONAJE","ENTREZ LE NOM DU PERSONNAGE","输入角色名称","文字の名前を入力します","DIGITE O NOME DO PERSONAGEM","输入角色名称"
"STR_TERJESTARTSCREEN_PAGE_NAME_FN","First name:","First name:","Jméno:","Vorname:","Имя:","Imię:","Keresztnév:","Nome:","Nombre:","Prénom:","名字:","名:","Prénom:","名字:"
"STR_TERJESTARTSCREEN_PAGE_NAME_SN","Last name:","Last name:","Příjmení:","Nachname:","Фамилия:","Nazwisko:","Vezetéknév:","Cognome:","Apellido:","Nom de famille:","姓:","姓:","Apelido:","姓:"
"STR_TERJESTARTSCREEN_PAGE_NAME_ERR1","The length must be at least %1 characters.","The length must be at least %1 characters.","Délka musí být alespoň %1 znaků.","Die Länge muss mindestens %1 Zeichen betragen.","Длинна должна быть не менее %1 символов.","Długość musi wynosić co najmniej %1 znaków.","A hosszúságnak legalább %1 karakternek kell lennie.","La lunghezza deve essere di almeno %1 caratteri.","La longitud debe ser de al menos %1 caracteres.","La longueur doit être au moins %1 caractères.","长度必须至少为%1字符。","長さは%1文字以上である必要があります。","O comprimento deve ser de pelo menos %1 caracteres.","长度必须至少为%1字符。"
"STR_TERJESTARTSCREEN_PAGE_NAME_ERR2","The length should be no more than %1 characters.","The length should be no more than %1 characters.","Délka nesmí být delší než %1 znaků.","Die Länge darf maximal %1 Zeichen betragen.","Длинна должна быть не более %1 символов.","Długość nie powinna być większa niż %1 znaków.","A hossz nem lehet több, mint %1 karakter.","La lunghezza deve essere al massimo %1 caratteri.","La longitud no debe ser más de %1 caracteres.","La longueur ne doit pas dépasser %1 caractères.","长度不应超过%1字符。","長さは%1文字以下にする必要があります。","O comprimento não deve exceder %1 caracteres.","长度不应超过%1字符。"
"STR_TERJESTARTSCREEN_PAGE_NAME_ERR3","Invalid character:","Invalid character:","Neplatný symbol:","ungültiges Zeichen:","Недопустимый символ:","Nieprawidłowy znak:","Érvénytelen karakter:","Carattere non valido:","Carácter no válido:","Caractère non valide:","无效字符:","無効な文字:","Carácter inválido:","无效字符:"
"STR_TERJESTARTSCREEN_PAGE_FACE_TITLE","CHOOSE YOUR APPEARANCE","CHOOSE YOUR APPEARANCE","VYBERTE SI SVŮJ VZHLED","WÄHLE DEIN AUSSEHEN","ВЫБЕРИТЕ СВОЮ ВНЕШНОСТЬ","WYBIERZ SWÓJ WYGLĄD","VÁLASSZA KI A MEGJELENÉSÉT","SCEGLI IL TUO ASPETTO","ELIGE TU APARIENCIA","CHOISISSEZ VOTRE APPARENCE","选择你的外表","あなたの外観を選択してください","ESCOLHA SUA APARÊNCIA","选择你的外表"
"STR_TERJESTARTSCREEN_PAGE_NAME_ERR4","Сharacter with that name already exists.","Сharacter with that name already exists.","Postava s tímto jménem již existuje.","Ein Charakter mit diesem Namen existiert bereits.","Персонаж с таким именем уже существует.","Postać o tym imieniu już istnieje.","Egy ilyen nevű karakter már létezik.","Un personaggio con quel nome esiste già.","Un personaje con ese nombre ya existe.","Un personnage avec ce nom existe déjà.","具有该名称的字符已经存在。","その名前の文字が既に存在します。","Um personagem com esse nome já existe.","具有该名称的字符已经存在。"
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE","CHOOSE YOUR LOADOUT","CHOOSE YOUR LOADOUT","VYBERTE SI SVÉ VYBAVENÍ","WÄHLE DEINE AUSRÜSTUNG AUS","ВЫБЕРИТЕ СВОЕ СНАРЯЖЕНИЕ","WYBIERZ SWÓJ SPRZĘT","VÁLASSZA KI A FELSZERELÉST","SCEGLI LA TUA ATTREZZATURA","ELIGE TU EQUIPO","CHOISISSEZ VOTRE ÉQUIPEMENT","选择你的装备","あなたのギアを選択してください","ESCOLHA O SEU EQUIPAMENTO","选择你的装备"
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_LOADING","Loading...","Loading...","Načítání...","Laden...","Загрузка...","Ładowanie...","Betöltés...","Caricamento...","Cargando...","Chargement...","装货。..","荷を積む。..","A carregar...","装货。.."
